## Target rRNA:uniformis_16S
## Probe set designed for: dorei_16S
## Total length of target rRNA uniformis_16S: 1515
## Total length of probe-target alignment: 1520
## Number of mismatches in probe-target alignment: 129
#target_ID	target_start	target_end	probe_ID	length_alignment	num_of_mismatches	ratio
uniformis_16S	1	60	dorei_16S_0	60	0	0.0
uniformis_16S	61	110	dorei_16S_1	50	4	0.08
uniformis_16S	111	160	dorei_16S_2	50	10	0.2
uniformis_16S	161	210	dorei_16S_3	50	17	0.34
uniformis_16S	211	257	dorei_16S_4	50	12	0.24
uniformis_16S	258	307	dorei_16S_5	50	4	0.08
uniformis_16S	308	357	dorei_16S_6	50	0	0.0
uniformis_16S	358	407	dorei_16S_7	50	4	0.08
uniformis_16S	408	457	dorei_16S_8	50	4	0.08
uniformis_16S	458	507	dorei_16S_9	50	10	0.2
uniformis_16S	508	557	dorei_16S_10	50	0	0.0
uniformis_16S	558	607	dorei_16S_11	50	4	0.08
uniformis_16S	608	657	dorei_16S_12	50	3	0.06
uniformis_16S	658	707	dorei_16S_13	50	0	0.0
uniformis_16S	708	757	dorei_16S_14	50	8	0.16
uniformis_16S	758	807	dorei_16S_15	50	1	0.02
uniformis_16S	808	857	dorei_16S_16	50	2	0.04
uniformis_16S	858	907	dorei_16S_17	50	0	0.0
uniformis_16S	908	957	dorei_16S_18	50	0	0.0
uniformis_16S	958	1007	dorei_16S_19	50	7	0.14
uniformis_16S	1008	1055	dorei_16S_20	50	10	0.2
uniformis_16S	1056	1105	dorei_16S_21	50	2	0.04
uniformis_16S	1106	1155	dorei_16S_22	50	9	0.18
uniformis_16S	1156	1205	dorei_16S_23	50	0	0.0
uniformis_16S	1206	1255	dorei_16S_24	50	5	0.1
uniformis_16S	1256	1305	dorei_16S_25	50	7	0.14
uniformis_16S	1306	1355	dorei_16S_26	50	1	0.02
uniformis_16S	1356	1405	dorei_16S_27	50	2	0.04
uniformis_16S	1406	1455	dorei_16S_28	50	2	0.04
uniformis_16S	1456	1515	dorei_16S_29	60	1	0.0166666666667
