## Target rRNA:aerofaciens_16S
## Probe set designed for: dorei_16S
## Total length of target rRNA aerofaciens_16S: 1494
## Total length of probe-target alignment: 1541
## Number of mismatches in probe-target alignment: 474
#target_ID	target_start	target_end	probe_ID	length_alignment	num_of_mismatches	ratio
aerofaciens_16S	1	60	dorei_16S_0	60	9	0.15
aerofaciens_16S	61	99	dorei_16S_1	50	26	0.52
aerofaciens_16S	100	149	dorei_16S_2	50	15	0.3
aerofaciens_16S	150	198	dorei_16S_3	52	23	0.442307692308
aerofaciens_16S	198	246	dorei_16S_4	50	21	0.42
aerofaciens_16S	247	296	dorei_16S_5	50	20	0.4
aerofaciens_16S	297	346	dorei_16S_6	50	5	0.1
aerofaciens_16S	347	396	dorei_16S_7	50	16	0.32
aerofaciens_16S	397	443	dorei_16S_8	50	19	0.38
aerofaciens_16S	443	477	dorei_16S_9	50	25	0.5
aerofaciens_16S	478	527	dorei_16S_10	50	5	0.1
aerofaciens_16S	528	577	dorei_16S_11	50	23	0.46
aerofaciens_16S	578	627	dorei_16S_12	50	24	0.48
aerofaciens_16S	628	677	dorei_16S_13	50	14	0.28
aerofaciens_16S	678	727	dorei_16S_14	50	15	0.3
aerofaciens_16S	728	777	dorei_16S_15	50	10	0.2
aerofaciens_16S	778	828	dorei_16S_16	57	28	0.491228070175
aerofaciens_16S	829	878	dorei_16S_17	50	10	0.2
aerofaciens_16S	879	928	dorei_16S_18	50	7	0.14
aerofaciens_16S	929	974	dorei_16S_19	50	18	0.36
aerofaciens_16S	975	1025	dorei_16S_20	52	19	0.365384615385
aerofaciens_16S	1026	1075	dorei_16S_21	50	11	0.22
aerofaciens_16S	1076	1125	dorei_16S_22	50	20	0.4
aerofaciens_16S	1126	1175	dorei_16S_23	50	15	0.3
aerofaciens_16S	1176	1225	dorei_16S_24	50	9	0.18
aerofaciens_16S	1226	1276	dorei_16S_25	51	15	0.294117647059
aerofaciens_16S	1277	1325	dorei_16S_26	50	11	0.22
aerofaciens_16S	1326	1375	dorei_16S_27	50	6	0.12
aerofaciens_16S	1376	1434	dorei_16S_28	59	29	0.491525423729
aerofaciens_16S	1435	1494	dorei_16S_29	60	6	0.1
